R,algorithm,date,iteration,seed,size,β,γ
5,fastSD,20211123101018_908,9863,16376586188856000,100,1.5,0.1
5,fastSD,20211123101019_086,11618,16376586190534580,100,1.5,0.1
5,fastSD,20211123101019_445,10353,16376586194281960,100,1.5,0.1
5,fastSD,20211123101019_481,11257,16376586194466540,100,1.5,0.1
5,fastSD,20211123101019_883,11308,16376586198632390,100,1.5,0.1
5,fastSD,20211123101020_016,10579,16376586199993110,100,1.5,0.1
5,fastSD,20211123101552_106,5455783,16376589385277482,100,1.5,0.1
5,fastSD,20211123101643_157,339200,16376590023805690,100,1.5,0.1
5,fastSD,20211123101742_036,441194,16376590610229190,100,1.5,0.1
5,fastSD,20211123101759_793,1482546,16376590762847860,100,1.5,0.1
5,fastSD,20211123101830_511,332964,16376591097244880,100,1.5,0.1
5,fastSD,20211123101930_074,4015636,16376591606143770,100,1.5,0.1
5,fastSD,20211123101930_76,302953,16376591700937030,100,1.5,0.1
5,fastSD,20211123102005_882,302579,16376592051949880,100,1.5,0.1
5,fastSD,20211123102131_246,6471944,16376592760719550,100,1.5,0.1
5,fastSD,20211123102150_464,119348,16376593101960070,100,1.5,0.1
5,fastSD,20211123102212_399,251178,16376593318370540,100,1.5,0.1
5,fastSD,20211123102311_565,347591,16376593907393128,100,1.5,0.1
5,fastSD,20211123102400_591,923955,16376594384567450,100,1.5,0.1
5,fastSD,20211123102426_134,313278,16376594654041140,100,1.5,0.1
5,fastSD,20211123102536_285,343698,16376595354735240,100,1.5,0.1
5,fastSD,20211123102543_532,335739,16376595427653880,100,1.5,0.1
5,fastSD,20211123102651_331,319698,16376596105346500,100,1.5,0.1
5,fastSD,20211123102652_307,306104,16376596114982690,100,1.5,0.1
5,fastSD,20211123102653_266,350102,16376596123080420,100,1.5,0.1
5,fastSD,20211123102654_044,299098,16376596132672700,100,1.5,0.1
5,fastSD,20211123102759_406,2351426,16376596731384972,100,1.5,0.1
5,fastSD,20211123102806_954,399386,16376596860214820,100,1.5,0.1
5,fastSD,20211123102815_588,308943,16376596948163790,100,1.5,0.1
5,fastSD,20211123102950_177,320716,16376597894033402,100,1.5,0.1
5,fastSD,20211123102951_038,317084,16376597901789480,100,1.5,0.1
5,fastSD,20211123102955_508,1875635,16376597910388852,100,1.5,0.1
5,fastSD,20211123103116_977,428557,16376598759418430,100,1.5,0.1
5,fastSD,20211123103117_796,347865,16376598769792540,100,1.5,0.1
5,fastSD,20211123103218_515,546748,16376599371331602,100,1.5,0.1
5,fastSD,20211123103237_788,317900,16376599570436020,100,1.5,0.1
5,fastSD,20211123103238_467,302585,16376599577894620,100,1.5,0.1
5,fastSD,20211123103239_203,318570,16376599584689580,100,1.5,0.1
5,fastSD,20211123103245_503,396668,16376599645087618,100,1.5,0.1
5,fastSD,20211123103307_182,1874598,16376599825357440,100,1.5,0.1
5,fastSD,20211123103323_273,670610,16376600017051510,100,1.5,0.1
5,fastSD,20211123103331_251,1963325,16376600066949930,100,1.5,0.1
5,fastSD,20211123103353_429,447144,16376600306501530,100,1.5,0.1
5,fastSD,20211123103427_541,400990,16376600660245472,100,1.5,0.1
5,fastSD,20211123103432_475,304484,16376600716865650,100,1.5,0.1
5,fastSD,20211123103707_446,416238,16376602264908220,100,1.5,0.1
5,fastSD,20211123103715_037,1839123,16376602308801160,100,1.5,0.1
5,fastSD,20211123103715_787,328349,16376602350387960,100,1.5,0.1
5,fastSD,20211123103732_453,6639044,16376602357890070,100,1.5,0.1
5,fastSD,20211123103733_58,500654,16376602524554952,100,1.5,0.1
5,fastSD,20211123103736_428,340480,16376602556621348,100,1.5,0.1
5,fastSD,20211123103823_228,496801,16376603021089050,100,1.5,0.1
5,fastSD,20211123103826_208,1326189,16376603032300160,100,1.5,0.1
5,fastSD,20211123103840_954,361407,16376603201617178,100,1.5,0.1
5,fastSD,20211123103911_074,3780031,16376603424682100,100,1.5,0.1
5,fastSD,20211123104007_407,6644029,16376603918898922,100,1.5,0.1
5,fastSD,20211123104014_598,342776,16376604138564488,100,1.5,0.1
5,fastSD,20211123104116_368,479534,16376604751275200,100,1.5,0.1
5,fastSD,20211123104154_177,709250,16376605125127800,100,1.5,0.1
5,fastSD,20211123104228_189,305944,16376605474627408,100,1.5,0.1
5,fastSD,20211123104228_324,55989,16376605481908950,100,1.5,0.1
5,fastSD,20211123104237_074,300313,16376605563063300,100,1.5,0.1
