R,algorithm,date,iteration,seed,size
10000,RLSSDstar,20211119180746_468,107120,16373416662644710,100
10000,RLSSDstar,20211119180746_753,47708,16373416666613810,100
10000,RLSSDstar,20211119180750_752,59688,16373416706627460,100
10000,RLSSDstar,20211119180750_854,50745,16373416707610540,100
10000,RLSSDstar,20211119180750_927,49104,16373416708557230,100
10000,RLSSDstar,20211119180751_106,50552,16373416710328100,100
10000,RLSSDstar,20211119180751_18,48598,16373416711072618,100
10000,RLSSDstar,20211119180751_313,69254,16373416712055150,100
10000,RLSSDstar,20211119180751_434,48838,16373416713411410,100
10000,RLSSDstar,20211119180752_909,52876,16373416728124640,100
10000,RLSSDstar,20211119180754_564,48429,16373416744894410,100
10000,RLSSDstar,20211119180754_802,97229,16373416746329392,100
10000,RLSSDstar,20211119180754_895,48904,16373416748036260,100
10000,RLSSDstar,20211119180755_139,49864,16373416750646378,100
10000,RLSSDstar,20211119180758_82,50570,16373416787283330,100
10000,RLSSDstar,20211119180758_93,71890,16373416788210430,100
10000,RLSSDstar,20211119180759_234,49329,16373416791397460,100
10000,RLSSDstar,20211119180759_6,55248,16373416795021070,100
10000,RLSSDstar,20211119180759_991,66141,16373416798737258,100
10000,RLSSDstar,20211119180800_086,62539,16373416799926860,100
10000,RLSSDstar,20211119180800_244,69012,16373416801218628,100
10000,RLSSDstar,20211119180800_316,48888,16373416802452970,100
10000,RLSSDstar,20211119180801_297,50601,16373416812235410,100
10000,RLSSDstar,20211119180801_831,254607,16373416813454640,100
10000,RLSSDstar,20211119180802_035,49015,16373416819646310,100
10000,RLSSDstar,20211119180802_153,62443,16373416820358150,100
10000,RLSSDstar,20211119180803_315,48068,16373416832296140,100
10000,RLSSDstar,20211119180803_922,152190,16373416836337590,100
10000,RLSSDstar,20211119180803_999,53323,16373416839233410,100
10000,RLSSDstar,20211119180804_1,49092,16373416840008120,100
10000,RLSSDstar,20211119180804_171,48861,16373416841007140,100
10000,RLSSDstar,20211119180805_111,48977,16373416850394002,100
10000,RLSSDstar,20211119180805_214,58519,16373416851120310,100
10000,RLSSDstar,20211119180805_303,49106,16373416852338778,100
10000,RLSSDstar,20211119180805_373,48701,16373416853046620,100
10000,RLSSDstar,20211119180805_476,51298,16373416854017450,100
10000,RLSSDstar,20211119180806_032,60627,16373416859258230,100
10000,RLSSDstar,20211119180807_432,83945,16373416872816050,100
10000,RLSSDstar,20211119180807_546,62223,16373416874336130,100
10000,RLSSDstar,20211119180807_668,55455,16373416875884190,100
10000,RLSSDstar,20211119180807_843,58835,16373416877579880,100
10000,RLSSDstar,20211119180808_589,52004,16373416884961950,100
10000,RLSSDstar,20211119180808_758,96944,16373416885902410,100
10000,RLSSDstar,20211119180808_834,51442,16373416887597740,100
10000,RLSSDstar,20211119180808_995,56823,16373416889105812,100
10000,RLSSDstar,20211119180809_062,47965,16373416889961578,100
10000,RLSSDstar,20211119180817_685,48564,16373416976138440,100
10000,RLSSDstar,20211119180817_752,48027,16373416976866440,100
10000,RLSSDstar,20211119180817_856,56704,16373416977534060,100
10000,RLSSDstar,20211119180817_926,47799,16373416978576200,100
10000,RLSSDstar,20211119180819_861,48177,16373416997738500,100
10000,RLSSDstar,20211119180819_984,48538,16373416999158462,100
10000,RLSSDstar,20211119180820_078,50630,16373416999856260,100
10000,RLSSDstar,20211119180820_148,48245,16373417000791680,100
10000,RLSSDstar,20211119180820_218,48465,16373417001497160,100
10000,RLSSDstar,20211119180820_307,48439,16373417002377320,100
10000,RLSSDstar,20211119180820_375,48083,16373417003084782,100
10000,RLSSDstar,20211119180820_714,50259,16373417006407210,100
10000,RLSSDstar,20211119180823_422,109135,16373417032278940,100
10000,RLSSDstar,20211119180824_661,178679,16373417043333860,100
10000,RLSSDstar,20211119180824_754,48856,16373417046620690,100
10000,RLSSDstar,20211119180825_3,49719,16373417052291000,100
10000,RLSSDstar,20211119180825_448,64323,16373417053304090,100
10000,RLSSDstar,20211119180825_972,48277,16373417059005730,100
10000,RLSSDstar,20211119180826_074,54119,16373417059770948,100
10000,RLSSDstar,20211119180826_305,71617,16373417061781990,100
10000,RLSSDstar,20211119180826_38,49303,16373417063067520,100
10000,RLSSDstar,20211119180826_501,48823,16373417064313090,100
10000,RLSSDstar,20211119180829_02,47947,16373417089354580,100
10000,RLSSDstar,20211119180830_868,49247,16373417107995390,100
10000,RLSSDstar,20211119180832_899,52793,16373417128030680,100
10000,RLSSDstar,20211119180832_986,48439,16373417129181380,100
10000,RLSSDstar,20211119180834_175,51321,16373417140999360,100
10000,RLSSDstar,20211119180835_74,48487,16373417156663620,100
10000,RLSSDstar,20211119180836_112,48126,16373417160230980,100
10000,RLSSDstar,20211119180836_232,52910,16373417161555110,100
10000,RLSSDstar,20211119180838_397,49324,16373417183265600,100
10000,RLSSDstar,20211119180843_688,114329,16373417234876230,100
10000,RLSSDstar,20211119181244_438,55716,16373419643110710,100
10000,RLSSDstar,20211119181244_511,47940,16373419644401520,100
10000,RLSSDstar,20211119181244_593,48466,16373419645125780,100
10000,RLSSDstar,20211119181245_217,57021,16373419651309150,100
10000,RLSSDstar,20211119181245_731,50527,16373419656474040,100
10000,RLSSDstar,20211119181247_851,60743,16373419677602450,100
10000,RLSSDstar,20211119181247_943,48236,16373419678527420,100
10000,RLSSDstar,20211119181248_256,74659,16373419681426302,100
10000,RLSSDstar,20211119181251_38,56541,16373419712499030,100
10000,RLSSDstar,20211119181252_044,53263,16373419719531600,100
10000,RLSSDstar,20211119181252_123,57424,16373419720453150,100
10000,RLSSDstar,20211119181252_212,49978,16373419721243790,100
10000,RLSSDstar,20211119181252_811,48915,16373419727255430,100
10000,RLSSDstar,20211119181252_877,48847,16373419728123788,100
10000,RLSSDstar,20211119181253_031,50864,16373419729416530,100
10000,RLSSDstar,20211119181253_106,53242,16373419730326810,100
10000,RLSSDstar,20211119181253_4,53091,16373419733085402,100
10000,RLSSDstar,20211119181253_497,64952,16373419734008378,100
10000,RLSSDstar,20211119181253_641,80055,16373419734978290,100
10000,RLSSDstar,20211119181254_372,48005,16373419743026850,100
10000,RLSSDstar,20211119181254_661,52072,16373419745868180,100
10000,RLSSDstar,20211119181256_363,60025,16373419762470150,100
10000,RLSSDstar,20211119181257_107,93671,16373419768800430,100
10000,RLSSDstar,20211119181257_181,48144,16373419771091198,100
10000,RLSSDstar,20211119181258_059,51694,16373419779846120,100
10000,RLSSDstar,20211119181300_523,48304,16373419804484560,100
10000,RLSSDstar,20211119181301_98,87968,16373419818025588,100
10000,RLSSDstar,20211119181302_058,48052,16373419819812980,100
10000,RLSSDstar,20211119181302_152,48282,16373419820596420,100
10000,RLSSDstar,20211119181302_466,48638,16373419823293670,100
10000,RLSSDstar,20211119181302_893,47938,16373419828173562,100
10000,RLSSDstar,20211119181303_026,52984,16373419829417000,100
10000,RLSSDstar,20211119181307_276,66443,16373419871591210,100
10000,RLSSDstar,20211119181309_287,80251,16373419891361410,100
10000,RLSSDstar,20211119181309_386,50954,16373419892881310,100
10000,RLSSDstar,20211119181309_468,50873,16373419893877230,100
10000,RLSSDstar,20211119181309_577,51198,16373419894924400,100
10000,RLSSDstar,20211119181309_887,80214,16373419897441390,100
10000,RLSSDstar,20211119181309_99,48570,16373419898971520,100
10000,RLSSDstar,20211119181310_072,52182,16373419899912332,100
10000,RLSSDstar,20211119181310_223,54683,16373419901164898,100
10000,RLSSDstar,20211119181310_477,50513,16373419904005490,100
10000,RLSSDstar,20211119181312_65,147150,16373419923206530,100
10000,RLSSDstar,20211119181312_787,54438,16373419926517798,100
10000,RLSSDstar,20211119181313_041,48172,16373419929375220,100
10000,RLSSDstar,20211119181315_974,47864,16373419958852050,100
10000,RLSSDstar,20211119181316_047,48068,16373419959749720,100
10000,RLSSDstar,20211119181316_524,48436,16373419964549430,100
10000,RLSSDstar,20211119181316_621,48912,16373419965247870,100
10000,RLSSDstar,20211119181316_692,47771,16373419966227660,100
10000,RLSSDstar,20211119181316_768,49265,16373419966936340,100
10000,RLSSDstar,20211119181318_033,66067,16373419979130800,100
10000,RLSSDstar,20211119181318_308,124210,16373419980816988,100
10000,RLSSDstar,20211119181319_752,48879,16373419996843450,100
10000,RLSSDstar,20211119181320_107,185969,16373419997528410,100
10000,RLSSDstar,20211119181320_438,48859,16373420003654770,100
10000,RLSSDstar,20211119181320_61,49292,16373420004993530,100
10000,RLSSDstar,20211119181320_705,47937,16373420006356440,100
10000,RLSSDstar,20211119181321_166,128448,16373420009351860,100
10000,RLSSDstar,20211119181328_826,62415,16373420086962610,100
10000,RLSSDstar,20211119181328_918,53464,16373420088280690,100
10000,RLSSDstar,20211119181329_304,50574,16373420090826982,100
10000,RLSSDstar,20211119181329_413,55095,16373420093061690,100
10000,RLSSDstar,20211119181329_539,54855,16373420094147320,100
10000,RLSSDstar,20211119181330_547,143998,16373420102211010,100
10000,RLSSDstar,20211119181332_404,49042,16373420123341820,100
10000,RLSSDstar,20211119181333_167,49683,16373420130954160,100
10000,RLSSDstar,20211119181333_3,72597,16373420131683870,100
10000,RLSSDstar,20211119181333_55,49881,16373420134779050,100
10000,RLSSDstar,20211119181333_686,48430,16373420135994220,100
10000,RLSSDstar,20211119181333_756,49141,16373420136876270,100
