algorithm,date,iteration,seed,size,temperature
SimulatedAnnealing,20211212141148_681,3579509,16393147020158400,60,-1.0
SimulatedAnnealing,20211212141157_637,5069325,16393147086830470,60,-1.0
SimulatedAnnealing,20211212141218_946,10991796,16393147176388990,60,-1.0
SimulatedAnnealing,20211212141224_477,3067538,16393147389480030,60,-1.0
SimulatedAnnealing,20211212141240_163,8965561,16393147444780300,60,-1.0
SimulatedAnnealing,20211212141249_057,5042621,16393147601647770,60,-1.0
SimulatedAnnealing,20211212141249_998,458571,16393147690586260,60,-1.0
SimulatedAnnealing,20211212141253_823,2118592,16393147699993730,60,-1.0
SimulatedAnnealing,20211212143156_232,261671,16393159149307440,60,-1.0
SimulatedAnnealing,20211212143159_026,959049,16393159162486860,60,-1.0
SimulatedAnnealing,20211212143200_313,405421,16393159190280880,60,-1.0
SimulatedAnnealing,20211212143223_015,12371227,16393159203145260,60,-1.0
SimulatedAnnealing,20211212143234_915,6512232,16393159430161210,60,-1.0
SimulatedAnnealing,20211212143247_783,6754857,16393159549163690,60,-1.0
SimulatedAnnealing,20211212143253_907,2707372,16393159677845600,60,-1.0
SimulatedAnnealing,20211212143313_52,7815792,16393159739080588,60,-1.0
SimulatedAnnealing,20211212143359_628,22782685,16393159935233570,60,-1.0
SimulatedAnnealing,20211212143408_966,4956979,16393160396349040,60,-1.0
SimulatedAnnealing,20211212143451_59,22468367,16393160489684960,60,-1.0
SimulatedAnnealing,20211212143452_413,461644,16393160915948600,60,-1.0
SimulatedAnnealing,20211212143505_475,7253332,16393160924146120,60,-1.0
SimulatedAnnealing,20211212143534_592,16000507,16393161054770970,60,-1.0
SimulatedAnnealing,20211212143650_741,42421209,16393161345935040,60,-1.0
SimulatedAnnealing,20211212143659_409,4905964,16393162107423010,60,-1.0
SimulatedAnnealing,20211212143702_514,1674087,16393162194105460,60,-1.0
SimulatedAnnealing,20211212143702_52,2697,16393162225150110,60,-1.0
SimulatedAnnealing,20211212143711_791,5293335,16393162225208312,60,-1.0
SimulatedAnnealing,20211212143900_789,56290359,16393162317922990,60,-1.0
SimulatedAnnealing,20211212143904_961,1753127,16393163408704080,60,-1.0
SimulatedAnnealing,20211212143930_464,13540268,16393163449637480,60,-1.0
SimulatedAnnealing,20211212143952_946,9140718,16393163704790480,60,-1.0
SimulatedAnnealing,20211212143955_196,1170250,16393163929621028,60,-1.0
SimulatedAnnealing,20211212144012_974,8586431,16393163952049370,60,-1.0
SimulatedAnnealing,20211212144020_983,3437782,16393164129755350,60,-1.0
SimulatedAnnealing,20211212144054_196,17936392,16393164209839960,60,-1.0
SimulatedAnnealing,20211212144112_043,8426821,16393164541991730,60,-1.0
SimulatedAnnealing,20211212144129_185,9022394,16393164720454650,60,-1.0
SimulatedAnnealing,20211212144132_07,902778,16393164891866270,60,-1.0
SimulatedAnnealing,20211212144134_073,851215,16393164920708390,60,-1.0
SimulatedAnnealing,20211212144458_882,104004019,16393164940752580,60,-1.0
SimulatedAnnealing,20211212144534_981,14199436,16393166988902600,60,-1.0
SimulatedAnnealing,20211212144601_34,12752207,16393167349862320,60,-1.0
SimulatedAnnealing,20211212144604_54,1442637,16393167614321030,60,-1.0
SimulatedAnnealing,20211212144702_744,28266721,16393167645415370,60,-1.0
SimulatedAnnealing,20211212144714_024,5853357,16393168227480400,60,-1.0
SimulatedAnnealing,20211212144727_909,7313961,16393168340273600,60,-1.0
SimulatedAnnealing,20211212144734_347,2243936,16393168479105340,60,-1.0
SimulatedAnnealing,20211212144736_233,933198,16393168544306030,60,-1.0
SimulatedAnnealing,20211212144831_407,28617149,16393168562342870,60,-1.0
SimulatedAnnealing,20211212144845_839,7380107,16393169114079780,60,-1.0
SimulatedAnnealing,20211212144853_527,3642338,16393169258732050,60,-1.0
SimulatedAnnealing,20211212144903_67,5343901,16393169335315052,60,-1.0
SimulatedAnnealing,20211212144908_512,2692963,16393169436725450,60,-1.0
SimulatedAnnealing,20211212145003_302,30926558,16393169485134530,60,-1.0
SimulatedAnnealing,20211212145019_334,8736778,16393170033044282,60,-1.0
SimulatedAnnealing,20211212145045_358,12164519,16393170193371748,60,-1.0
SimulatedAnnealing,20211212145121_914,20879889,16393170453594410,60,-1.0
SimulatedAnnealing,20211212145136_338,8180439,16393170819152150,60,-1.0
SimulatedAnnealing,20211212145216_455,22822064,16393170963405890,60,-1.0
SimulatedAnnealing,20211212145232_693,8153730,16393171364573000,60,-1.0
SimulatedAnnealing,20211212145238_93,3490896,16393171526939458,60,-1.0
SimulatedAnnealing,20211212145311_713,18500792,16393171589313290,60,-1.0
SimulatedAnnealing,20211212145331_461,10984761,16393171917141590,60,-1.0
SimulatedAnnealing,20211212183726_127,131149,16393306448949180,50,-1.0
SimulatedAnnealing,20211212184155_326,459406,16393309145673202,50,-1.0
SimulatedAnnealing,20211212184156_817,910556,16393309153284440,50,-1.0
SimulatedAnnealing,20211212185532_594,341319,16393317320456800,50,-1.0
SimulatedAnnealing,20211212185539_595,3587103,16393317339647940,50,-1.0
SimulatedAnnealing,20211212185539_831,93974,16393317395966270,50,-1.0
SimulatedAnnealing,20211212185543_616,2428574,16393317398533500,50,-1.0
SimulatedAnnealing,20211212185545_36,1128913,16393317436173060,50,-1.0
SimulatedAnnealing,20211212185547_977,1712245,16393317453614730,50,-1.0
SimulatedAnnealing,20211212185839_786,5235835,16393319102321200,50,-1.0
SimulatedAnnealing,20211212185841_094,180,16393319210938662,50,-1.0
SimulatedAnnealing,20211212185841_095,65,16393319210953340,50,-1.0
SimulatedAnnealing,20211212185841_096,95,16393319210962592,50,-1.0
SimulatedAnnealing,20211212185843_305,1362027,16393319210970520,50,-1.0
SimulatedAnnealing,20211212185843_39,54283,16393319233060340,50,-1.0
SimulatedAnnealing,20211212185851_877,5244517,16393319233913360,50,-1.0
SimulatedAnnealing,20211212185851_878,63,16393319318780388,50,-1.0
SimulatedAnnealing,20211212185858_041,4019455,16393319318902200,50,-1.0
SimulatedAnnealing,20211212185901_337,2150977,16393319380419810,50,-1.0
SimulatedAnnealing,20211212185903_87,1673151,16393319413384390,50,-1.0
SimulatedAnnealing,20211212185905_255,891981,16393319438717452,50,-1.0
SimulatedAnnealing,20211212185905_257,79,16393319452568710,50,-1.0
SimulatedAnnealing,20211212185906_697,953432,16393319452579852,50,-1.0
SimulatedAnnealing,20211212185906_698,138,16393319466977860,50,-1.0
SimulatedAnnealing,20211212185907_038,217704,16393319466989150,50,-1.0
SimulatedAnnealing,20211212185908_417,884743,16393319470398632,50,-1.0
SimulatedAnnealing,20211212185911_169,1723976,16393319484184410,50,-1.0
SimulatedAnnealing,20211212185912_037,522855,16393319511922450,50,-1.0
SimulatedAnnealing,20211212185916_308,2673211,16393319520379870,50,-1.0
SimulatedAnnealing,20211212185919_009,1669170,16393319563093310,50,-1.0
SimulatedAnnealing,20211212185938_82,10827355,16393319590105420,50,-1.0
SimulatedAnnealing,20211212185949_824,7163673,16393319788214222,50,-1.0
SimulatedAnnealing,20211212185950_56,482893,16393319898250670,50,-1.0
SimulatedAnnealing,20211212191522_985,21153428,16393328847885990,50,-1.0
SimulatedAnnealing,20211212191522_988,112,16393329229882210,50,-1.0
SimulatedAnnealing,20211212191522_99,90,16393329229904170,50,-1.0
SimulatedAnnealing,20211212191524_292,681924,16393329229918830,50,-1.0
SimulatedAnnealing,20211212191524_293,83,16393329242932710,50,-1.0
SimulatedAnnealing,20211212191537_6,7251441,16393329242942678,50,-1.0
SimulatedAnnealing,20211212191537_603,85,16393329376028120,50,-1.0
SimulatedAnnealing,20211212191556_572,11291025,16393329376056300,50,-1.0
SimulatedAnnealing,20211212191558_138,929980,16393329565740750,50,-1.0
SimulatedAnnealing,20211212191558_139,112,16393329581392090,50,-1.0
SimulatedAnnealing,20211212191559_131,594152,16393329581403370,50,-1.0
SimulatedAnnealing,20211212191611_639,7653805,16393329591321660,50,-1.0
SimulatedAnnealing,20211212191612_263,367794,16393329716407950,50,-1.0
SimulatedAnnealing,20211212191623_915,6898004,16393329722641520,50,-1.0
SimulatedAnnealing,20211212191623_918,113,16393329839179570,50,-1.0
SimulatedAnnealing,20211212191626_625,1580634,16393329839191470,50,-1.0
SimulatedAnnealing,20211212191626_626,97,16393329866266962,50,-1.0
SimulatedAnnealing,20211212191626_655,16219,16393329866278250,50,-1.0
SimulatedAnnealing,20211212191633_086,3936863,16393329866558800,50,-1.0
SimulatedAnnealing,20211212191639_252,3576686,16393329930874218,50,-1.0
SimulatedAnnealing,20211212191639_253,71,16393329992537488,50,-1.0
SimulatedAnnealing,20211212191642_521,1981540,16393329992546800,50,-1.0
SimulatedAnnealing,20211212191643_747,709703,16393330025222672,50,-1.0
SimulatedAnnealing,20211212191649_41,3430060,16393330037479310,50,-1.0
SimulatedAnnealing,20211212191649_411,91,16393330094114940,50,-1.0
SimulatedAnnealing,20211212191703_121,8314898,16393330094126000,50,-1.0
SimulatedAnnealing,20211212191730_168,16261883,16393330231220738,50,-1.0
SimulatedAnnealing,20211212191730_169,77,16393330501696082,50,-1.0
SimulatedAnnealing,20211212191730_719,322509,16393330501706550,50,-1.0
SimulatedAnnealing,20211212191737_338,3916024,16393330507205870,50,-1.0
SimulatedAnnealing,20211212191747_449,6022260,16393330573395678,50,-1.0
SimulatedAnnealing,20211212191749_167,1008066,16393330674500950,50,-1.0
SimulatedAnnealing,20211212191754_236,3052177,16393330691682240,50,-1.0
SimulatedAnnealing,20211212191754_522,167049,16393330742369462,50,-1.0
SimulatedAnnealing,20211212191754_523,103,16393330745228520,50,-1.0
SimulatedAnnealing,20211212191755_713,734657,16393330745240690,50,-1.0
SimulatedAnnealing,20211212191755_978,154549,16393330757145470,50,-1.0
SimulatedAnnealing,20211212191801_583,3321013,16393330759790050,50,-1.0
SimulatedAnnealing,20211212191802_181,337368,16393330815840362,50,-1.0
SimulatedAnnealing,20211212191802_182,161,16393330821820550,50,-1.0
SimulatedAnnealing,20211212191804_568,1439918,16393330821833652,50,-1.0
SimulatedAnnealing,20211212191816_649,7333430,16393330845690290,50,-1.0
SimulatedAnnealing,20211212191817_423,450780,16393330966506710,50,-1.0
SimulatedAnnealing,20211212191817_803,229214,16393330974241778,50,-1.0
SimulatedAnnealing,20211212191820_389,1497424,16393330978042720,50,-1.0
SimulatedAnnealing,20211212191821_63,726665,16393331003905920,50,-1.0
SimulatedAnnealing,20211212191831_456,5951050,16393331016311720,50,-1.0
SimulatedAnnealing,20211212191831_523,23140,16393331114569650,50,-1.0
