algorithm,date,iteration,seed,size
ea1p1,20211119180212_673,591220,16373413319457250,100
ea1p1,20211119180212_968,228572,16373413326741058,100
ea1p1,20211119180213_166,97122,16373413330392390,100
ea1p1,20211119180213_795,293852,16373413334297740,100
ea1p1,20211119180213_907,10935,16373413338931460,100
ea1p1,20211119180215_635,1335355,16373413339792680,100
ea1p1,20211119180215_732,21204,16373413357072812,100
ea1p1,20211119180215_79,34919,16373413357332680,100
ea1p1,20211119180218_413,2079126,16373413357912220,100
ea1p1,20211119180218_49,64815,16373413384143270,100
ea1p1,20211119180218_933,267832,16373413385959980,100
ea1p1,20211119180219_164,16293,16373413391448210,100
ea1p1,20211119180219_193,22913,16373413391658070,100
ea1p1,20211119180219_764,460503,16373413391944448,100
ea1p1,20211119180220_084,184193,16373413398590888,100
ea1p1,20211119180220_66,39998,16373413406150500,100
ea1p1,20211119180221_084,113765,16373413409341330,100
ea1p1,20211119180222_335,469494,16373413417574040,100
ea1p1,20211119180222_604,130853,16373413424386240,100
ea1p1,20211119180227_652,3806779,16373413429107580,100
ea1p1,20211119180227_714,51376,16373413476529320,100
ea1p1,20211119180227_745,24755,16373413477154420,100
ea1p1,20211119180227_93,81719,16373413478344500,100
ea1p1,20211119180227_959,23954,16373413479307740,100
ea1p1,20211119180228_946,714406,16373413480514700,100
ea1p1,20211119180229_126,25462,16373413490812860,100
ea1p1,20211119180229_303,4565,16373413492979190,100
ea1p1,20211119180229_553,18944,16373413495315760,100
ea1p1,20211119180230_633,713737,16373413495752298,100
ea1p1,20211119180230_653,7264,16373413506386148,100
ea1p1,20211119180230_722,33107,16373413506613810,100
ea1p1,20211119180231_109,88041,16373413509975060,100
ea1p1,20211119180231_115,4602,16373413511099560,100
ea1p1,20211119180231_458,207202,16373413512103700,100
ea1p1,20211119180231_86,251967,16373413515587070,100
ea1p1,20211119180232_294,94548,16373413521792770,100
ea1p1,20211119180232_448,48417,16373413523917020,100
ea1p1,20211119180232_73,31894,16373413526831760,100
